pickup_hour,trip_count,avg_fare,avg_distance,avg_speed_mph,avg_tip_pct,total_revenue
0,124975,19.17,3.71,13.7,22.06,3581504.3
1,93953,20.34,4.08,14.7,21.4,2817453.26
2,68766,19.65,3.9,14.7,21.24,1984566.76
3,45051,17.31,3.26,13.9,21.74,1164614.39
4,31699,16.32,3.03,13.8,21.72,779433.82
5,20356,17.85,3.48,15.2,40.73,536743.82
6,12636,22.94,4.82,18.0,18.94,410441.38
7,15474,27.54,6.27,19.6,17.56,586019.82
8,35398,21.93,4.73,15.9,18.07,1069929.44
9,74008,18.49,3.54,12.9,19.94,1952224.72
10,104741,17.55,3.05,11.0,20.47,2655418.6
11,118926,17.82,3.05,11.0,20.3,3070922.14
12,129548,17.99,3.05,10.8,20.05,3369465.83
13,140717,17.56,2.91,10.3,19.99,3579245.1
14,153026,17.73,2.99,10.3,19.97,3932160.67
15,158418,18.34,3.16,10.4,19.99,4191302.45
16,170501,19.18,3.34,10.2,20.03,4709541.17
17,176184,19.02,3.28,9.9,20.06,4819400.32
18,177610,19.37,3.41,10.2,22.07,5283447.58
19,190494,18.02,3.06,9.9,22.8,5368997.26
20,195228,16.91,2.87,10.4,23.38,5251865.67
21,169910,17.59,3.18,11.7,23.43,4721523.45
22,148682,18.03,3.38,12.7,22.53,4072441.46
23,147851,18.3,3.48,13.2,22.47,4081838.14
