pickup_hour,trip_count,avg_fare,avg_distance,avg_speed_mph,avg_tip_pct,total_revenue
0,124973,19.17,3.71,13.7,22.06,3581482.35
1,93947,20.34,4.08,14.7,21.4,2816952.9
2,68760,19.65,3.9,14.7,21.24,1984409.86
3,45050,17.31,3.26,13.8,21.75,1164562.99
4,31699,16.32,3.03,13.8,21.72,779433.82
5,20354,17.85,3.48,15.1,40.73,536567.82
6,12636,22.94,4.82,18.0,18.94,410441.38
7,15473,27.53,6.27,19.6,17.57,585971.82
8,35396,21.93,4.73,15.9,18.07,1069886.44
9,74003,18.49,3.54,12.9,19.94,1951945.7
10,104739,17.55,3.05,11.0,20.47,2655148.63
11,118921,17.82,3.05,11.0,20.3,3070658.61
12,129545,17.99,3.05,10.8,20.05,3369429.83
13,140715,17.56,2.91,10.3,19.99,3579182.4
14,153022,17.73,2.99,10.3,19.97,3932091.97
15,158411,18.34,3.16,10.4,19.99,4191140.55
16,170499,19.18,3.34,10.2,20.03,4709525.77
17,176181,19.02,3.28,9.9,20.07,4819376.82
18,177603,19.37,3.41,10.2,22.07,5283159.49
19,190480,18.01,3.06,9.9,22.8,5367764.54
20,195222,16.91,2.87,10.4,23.38,5251564.35
21,169908,17.59,3.18,11.7,23.43,4721499.95
22,148681,18.03,3.38,12.7,22.53,4072428.51
23,147846,18.3,3.48,13.2,22.47,4081760.88
