pickup_hour,PULocationID,trip_count,revenue,hour_rank
0,132,9043,715061.6,1
0,230,7895,181486.64,2
0,142,7503,167434.82,3
1,132,8490,657668.61,1
1,249,4904,113752.05,2
1,138,4773,291250.89,3
2,132,5676,435847.44,1
2,79,4888,107550.9,2
2,249,4470,103614.1,3
3,79,4266,93725.21,1
3,249,3562,81562.73,2
3,114,2975,65863.12,3
4,79,3534,76849.94,1
4,148,2480,57887.18,2
4,249,2373,55163.49,3
5,79,2231,50406.41,1
5,148,1583,37282.47,2
5,249,1422,33870.46,3
6,79,946,23146.12,1
6,48,934,26437.07,2
6,148,787,19695.19,3
7,132,2216,164355.43,1
7,186,1282,24390.01,2
7,48,1042,24874.91,3
8,132,3968,298636.75,1
8,186,2829,49499.99,2
8,48,2154,41255.96,3
9,236,5274,103260.48,1
9,132,4451,352352.5,2
9,186,3777,69708.31,3
10,236,7355,150378.61,1
10,237,5289,97432.55,2
10,186,5004,104278.85,3
11,236,7806,154305.85,1
11,237,6636,126548.28,2
11,186,5250,119721.23,3
12,236,8335,158587.51,1
12,237,7450,141195.98,2
12,161,5394,130986.21,3
13,236,8992,176728.09,1
13,237,8831,167533.73,2
13,161,6782,160322.81,3
14,237,9797,183375.24,1
14,236,9771,190794.97,2
14,161,7823,187089.91,3
15,237,10012,192465.19,1
15,236,9268,181789.3,2
15,161,8746,212204.36,3
16,237,11319,218632.48,1
16,236,9883,193095.69,2
16,161,9660,238883.15,3
17,236,11290,223905.02,1
17,237,10893,211189.81,2
17,161,9891,237792.15,3
18,161,10720,271476.98,1
18,132,10460,914538.5,2
18,237,9838,209835.02,3
19,161,12442,303770.55,1
19,237,9755,208282.81,2
19,236,9591,204557.58,3
20,161,13040,304724.03,1
20,237,9685,201871.54,2
20,162,9542,223855.0,3
21,161,11055,255569.39,1
21,132,9224,769016.42,2
21,237,8139,166448.61,3
22,132,8875,716013.52,1
22,161,8841,195485.16,2
22,237,6919,134294.12,3
23,132,9326,749589.66,1
23,230,8412,190872.55,2
23,161,8195,182695.82,3
