PULocationID,DOLocationID,trip_count,avg_fare,avg_distance,total_revenue,rank
237,236,20954,8.89,1.06,329751.56,1
236,237,18501,9.28,1.05,297513.87,2
236,236,14454,6.65,0.66,188837.87,3
237,237,13455,7.24,0.66,184330.91,4
161,237,9868,9.89,1.08,168521.04,5
142,239,8520,8.04,0.99,127610.48,6
237,161,8458,9.78,1.06,139293.41,7
161,236,8327,13.91,1.95,182331.99,8
239,142,8170,7.82,0.88,118530.17,9
239,238,7981,7.13,0.84,109953.49,10
141,236,7420,9.19,1.09,118090.6,11
237,162,7266,9.31,0.98,117000.98,12
186,230,6765,11.87,1.06,127568.86,13
236,161,6742,14.19,1.93,144106.49,14
142,238,6738,10.15,1.5,117450.85,15
236,141,6564,9.68,1.12,108848.46,16
238,239,6526,7.06,0.79,88638.72,17
236,239,6423,10.17,1.43,111057.39,18
264,264,6346,17.78,3.12,163474.31,19
237,141,6336,7.83,0.77,92158.52,20
