pickup_hour,avg_speed_mph,median_speed_mph,p25_speed_mph,p75_speed_mph,sample_size
0,13.88,11.45,9.08,15.1,121129
1,14.89,12.22,9.59,16.88,90914
2,14.95,12.51,9.72,16.87,66236
3,14.08,12.41,9.67,16.09,43180
4,14.06,12.69,9.99,16.24,30245
5,15.44,13.67,10.75,17.48,19428
6,18.37,15.5,12.0,21.95,12127
7,19.87,16.59,12.35,26.6,15080
8,16.13,13.98,10.83,19.09,34357
9,13.06,11.38,8.78,15.06,71315
10,11.16,9.51,7.34,12.83,99884
11,11.17,9.37,6.98,12.92,112749
12,11.02,9.3,6.9,12.74,122611
13,10.46,8.82,6.69,11.8,132723
14,10.5,8.83,6.76,11.69,144508
15,10.58,8.84,6.87,11.68,149649
16,10.38,8.67,6.82,11.5,161662
17,10.07,8.62,6.87,11.22,167170
18,10.34,8.88,7.03,11.63,168887
19,10.02,8.71,6.91,11.2,181335
20,10.53,9.07,7.21,11.64,185895
21,11.88,9.87,7.82,12.88,162111
22,12.93,10.66,8.53,13.9,143001
23,13.39,11.14,8.95,14.38,143045
