pickup_hour,avg_speed_mph,min_speed_mph,max_speed_mph,sample_size
0,13.89,1.0,1022.86,121131
1,14.89,0.94,436.71,90920
2,14.98,0.44,1367.8,66242
3,14.09,0.67,458.26,43181
4,14.06,0.5,71.46,30245
5,15.54,1.13,1835.0,19430
6,18.37,0.96,61.45,12127
7,19.9,0.63,392.92,15081
8,16.13,0.44,88.87,34359
9,13.09,0.33,646.6,71320
10,11.16,0.34,112.02,99886
11,11.18,0.35,905.2,112754
12,11.02,0.5,477.14,122614
13,10.47,0.48,253.49,132725
14,10.51,0.33,438.58,144512
15,10.59,0.35,391.62,149656
16,10.38,0.4,240.0,161664
17,10.08,0.54,810.0,167173
18,10.35,0.5,739.2,168894
19,10.05,0.69,964.71,181349
20,10.53,0.36,347.69,185901
21,11.88,0.33,477.97,162113
22,12.93,1.01,780.0,143002
23,13.4,0.39,216.0,143050
